bill_num,amended,short_outcome,final_action,house_vote_date,senate_vote_date,leg_cosponsors,floor_sponsors,gov_action,short_desc,long_desc,topics_all,topics_coded,t1,t1_aye,t2,t2_aye,t3,t3_aye,t4,t4_aye,t5,t5_aye,bill_group,link,notes
H0063,,LAW,"Reported Signed by Governor on March 12, 2019; Session Law Chapter 76; Effective: 07/01/2019",2019-02-15,2019-03-06,,"['Representative Troy', 'Senator Stennett']",Signed,"WINE - Amends existing law to revise the definition of ""dessert wine.""",,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2019/legislation/H0063/,
H0064,,LAW,"Reported Signed by Governor on March 7, 2019; Session Law Chapter 50; Effective: 03/07/2019",2019-02-05,2019-02-28,,"['Representative Chaney', 'Senator Vick']",Signed,ABORTION COMPLICATIONS - Amends existing law to revise a definition and to revise provisions regarding abortion complication reporting.,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2019/legislation/H0064/,
H0065,,H St Aff,01/30; Reported Printed and Referred to State Affairs,,,,,,"ADMINISTRATIVE RULES - Amends existing law to provide that all pending rules shall be approved by a concurrent resolution and to update, clarify, and remove outdated provisions regarding the rulemaking process.",,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2019/legislation/H0065/,
H0066,,LAW,"Reported Signed by Governor on February 14, 2019; Session Law Chapter 20; Effective: 02/14/2019",2019-02-04,2019-02-11,,"['Representative Kauffman', 'Senator Burtenshaw']",Signed,APPROPRIATIONS - IDAHO TRANSPORTATION DEPARTMENT - Relates to the appropriation to the Idaho Transportation Department for fiscal year 2019.,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2019/legislation/H0066/,
H0067,,LAW,"Reported Signed by Governor on March 7, 2019; Session Law Chapter 51; Effective: 07/01/2019",2019-02-13,2019-02-28,,"['Representative Gestrin', 'Senator Johnson']",Signed,LOW TEMPERATURE GEOTHERMAL RESOURCES - Amends existing law to provide for the exemption of proposed uses of low temperature geothermal resources primarily for reasons other than heat value.,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2019/legislation/H0067/,
H0068,,LAW,"Reported Signed by Governor on March 12, 2019; Session Law Chapter 75; Effective: 07/01/2019",2019-02-13,2019-03-01,,"['Representative Harris', 'Senator Vick']",Signed,RETIREMENT - Amends existing law to conform provisions regarding retirement and early retirement allowance calculations for state legislators to the decision of the Citizens’ Committee on Legislative Compensation.,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2019/legislation/H0068/,
H0069,,H Com/HuRes,01/31; Reported Printed and Referred to Commerce & Human Resources,,,,,,"PERSI - Amends existing law to revise the definition of ""employee"".",,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2019/legislation/H0069/,
H0070,,H Jud,"03/14; U.C. to be returned to Judiciary, Rules & Administration Committee",,,,,,FIREARMS - Amends existing law to provide that a person convicted of the crime of sexual battery of a minor child sixteen or seventeen years of age shall not have certain rights restored.,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2019/legislation/H0070/,
H0071,,LAW,"Reported Signed by Governor on March 13, 2019; Session Law Chapter 81; Effective: 07/01/2019",2019-02-19,2019-03-06,,"['Representative Collins', 'Senator Guthrie']",Signed,INSURANCE - Amends and adds to existing law to establish provisions regarding group-wide supervision of internationally active insurance groups.,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2019/legislation/H0071/,
H0072,,LAW,"Reported Signed by Governor on February 14, 2019; Session Law Chapter 19; Effective: 07/01/2019",2019-02-04,2019-02-11,,"['Representative Monks', 'Senator Harris']",Signed,FINANCIAL MANAGEMENT - Repeals existing law relating to the Financial Management Technical Development Committee.,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2019/legislation/H0072/,
H0073,,LAW,"Reported Signed by Governor on March 12, 2019; Session Law Chapter 74; Effective: 07/01/2019",2019-02-19,2019-03-06,,"['Representative Dixon', 'Senator Lodge']",Signed,DIVISION OF FINANCIAL MANAGEMENT - Amends existing law to establish the Office of the Administrative Rules Coordinator in the Division of Financial Management.,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2019/legislation/H0073/,
H0074,,S FAILED,03/07; Returned from Senate Failed; Filed in the office of the Chief Clerk,2019-02-21,2019-03-06,,['Representative Gestrin'],,RECREATIONAL ACTIVITIES - Amends and adds to existing law to provide for off-highway vehicles.,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2019/legislation/H0074/,
H0075,,LAW,"Reported Signed by Governor on March 12, 2019; Session Law Chapter 73; Effective: 07/01/2019",2019-02-21,2019-03-06,,"['Representative Gestrin', 'Senator Rice']",Signed,"RECREATIONAL ACTIVITIES - Repeals, adds to, and amends existing law to impose a fee on nonresidents for off-highway vehicle travel in Idaho.",,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2019/legislation/H0075/,
H0076,,LAW,"Reported Signed by Governor on March 14, 2019; Session Law Chapter 84; Effective: 07/01/2019",2019-02-20,2019-03-06,,"['Representative Ricks', 'Senator Nelson']",Signed,TRANSPORTATION - Amends and adds to existing law to provide for electric-assisted bicycles.,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2019/legislation/H0076/,
H0077,,H Transp,"02/07; Bill Previously Held at Desk, Referred to Transportation & Defense",,,,,,"MOTOR VEHICLES - Adds to existing law to prohibit local authorities from enacting regulations, resolutions, or ordinances that prohibit or restrict the use of a handheld wireless device while driving a moving motor vehicle and to provide that certain regulations, resolutions, or ordinances shall be null, void, and of no force and effect.",,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2019/legislation/H0077/,
H0078,Amended,LAW,"Reported Signed by Governor on April 4, 2019; Session Law Chapter 305; Effective: 07/01/2019",2019-04-01,2019-03-26,"['Representative Greg Chaney', 'Representative Bryan Zollinger', 'Representative Paul Amador', 'Representative Brent Crane', 'Representative Gayann De', 'Representative Melissa Wintrow', 'Representative Bill Goesling', 'Representative Barbara Ehardt', 'Representative Scott Syme', 'Representative Julianne Young', 'Representative Linda Hartgen', 'Representative Doug Ricks', 'Representative Rick Youngblood', 'Senator Don Cheatham', 'Senator Steven Thayn', 'Senator Mark Nye', 'Senator Jeff Agenbroad', 'Senator Carl Crabtree', 'Senator Mary Souza', 'Senator Bert Brackett']","['Representative Kerby', 'Senator Lee']",Signed,CRIMES AND PUNISHMENTS - Amends and adds to existing law to establish provisions regarding criminal diversion programs.,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2019/legislation/H0078/,
H0079,,H FAILED,03/01; Read Third Time in Full - FAILED - 24-45-1,2019-03-01,,,,,LEGAL IMMUNITY - Adds to existing law to provide immunity from civil liability and criminal prosecution for first responders who provide certain aid to a dog or cat.,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2019/legislation/H0079/,
H0080,,LAW,"Reported Signed by Governor on March 12, 2019; Session Law Chapter 72; Effective: 07/01/2019",2019-02-13,2019-03-06,,"['Representative Wood', 'Senator Anthon']",Signed,"FISH AND GAME - Amends existing law to revise provisions regarding certain agreements and compensation for damage by pronghorn antelope, elk, deer, and moose.",,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2019/legislation/H0080/,
H0081,,H Res/Con,02/04; Reported Printed and Referred to Resources & Conservation,,,,,,FISH AND GAME - Amends existing law to revise provisions regarding applicability of specified law to the duties and liability of certain owners of land.,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2019/legislation/H0081/,
H0082,,H Bus,02/04; Reported Printed and Referred to Business,,,,,,HOMEOWNER’S ASSOCIATIONS - Amends existing law to provide for certain prohibited conduct by homeowner’s associations regarding solar panels and collectors and to provide exceptions.,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2019/legislation/H0082/,
H0083,,H Bus,02/04; Reported Printed and Referred to Business,,,,,,RECORDER’S FEES - Amends existing law to revise provisions regarding the fees a county recorder may receive.,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2019/legislation/H0083/,
H0084,,LAW,"Reported Signed by Governor on March 18, 2019; Session Law Chapter 90; Effective: 07/01/2019",2019-02-28,2019-03-12,"['Representative Greg Chaney', 'Representative Bryan Zollinger', 'Senator Grant Burgoyne']","['Representative Zollinger', 'Senator Burgoyne']",Signed,"GENERAL BUSINESS CORPORATIONS - Amends, repeals, and adds to existing law to revise the requirements for general business corporations.",,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2019/legislation/H0084/,
H0085,,H FAILED,02/22; Read Third Time in Full - FAILED - 15-55-0,2019-02-22,,,,,DAYLIGHT SAVING TIME - Adds to existing law to provide that the State of Idaho shall be exempt from the daylight saving time provisions of federal law.,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2019/legislation/H0085/,
H0086,,LAW,"Reported Signed by Governor on March 7, 2019; Session Law Chapter 52; Effective: 07/01/2019",2019-02-11,2019-02-28,,"['Representative Moyle', 'Representative Addis', 'Senator Grow']",Signed,SALES TAX - Adds to existing law to provide a sales tax exemption on the labor charged by a motor vehicle dealer to add accessories to a new factory-delivered vehicle.,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2019/legislation/H0086/,
H0087,,LAW,"Reported Signed by Governor on March 7, 2019; Session Law Chapter 53; Effective: 01/01/2019 SECTION 1 & 2;; 01/01/2020 SECTION 3 & 4",2019-02-11,2019-02-28,,"['Representative Moyle', 'Representative Anderst', 'Senator Lee']",Signed,PROPERTY TAXES - Amends existing law to revise provisions regarding a personal property tax exemption for farm equipment and machinery.,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2019/legislation/H0087/,
H0088,Amended,S FAILED,03/13; Returned from Senate Failed; Filed in the office of the Chief Clerk,2019-02-18,2019-03-12,,['Representative Palmer'],,HIGHWAY DISTRIBUTION ACCOUNT - Amends existing law to revise apportionment provisions regarding the Highway Distribution Account.,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2019/legislation/H0088/,
