bill_num,amended,short_outcome,final_action,house_vote_date,senate_vote_date,leg_cosponsors,floor_sponsors,gov_action,short_desc,long_desc,topics_all,topics_coded,t1,t1_aye,t2,t2_aye,t3,t3_aye,t4,t4_aye,t5,t5_aye,bill_group,link,notes
H0001,,LAW,"Reported Signed by Governor on March 3, 2009; Session Law Chapter 20; Effective: 07/01/2009",2009-02-12,2009-02-20,,"['Representative Patrick', 'Senator Coiner']",Signed,ENGINEERS AND SURVEYORS - Amends existing law relating to engineers and surveyors to revise provisions relating to certain fees.,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2009/legislation/H0001/,
H0002,,H W/M,01/21; Reported Printed and Referred to Ways & Means,,,,,,PROPERTY TAX - Adds to existing law to exempt from the property tax any increase in excess of three percent per year in the net taxable value of real property or operating property of a taxpayer; to define terms; to provide the effect of a change in status; to provide that tax year 2007 is the base year for calculation; and to provide that the exemption does not apply to forest lands.,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2009/legislation/H0002/,
H0003,,LAW,"Reported Signed by Governor on February 18, 2009; Session Law Chapter 2; Effective: 01/01/2009",2009-01-29,2009-02-11,,"['Representative Killen', 'Senator Stegner']",Signed,CORPORATE INCOME TAXES - Amends existing law relating to the water’s-edge election to revise standards for making the water’s-edge election on behalf of members of the water’s-edge combined group for corporate income tax purposes.,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2009/legislation/H0003/,
H0004,,LAW,"Reported Signed by Governor on February 19, 2009; Session Law Chapter 7; Effective: 01/01/2009",2009-01-26,2009-02-11,,"['Representative Lake', 'Senator Bilyeu']",Signed,PROPERTY TAX EXEMPTION - HOMESTEADS - Amends existing law to allow the State Tax Commission to publish annual changes rather than increases to the value of residential real property that is subject to the homeowner’s exemption.,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2009/legislation/H0004/,
H0005,,S Loc Gov,"Introduced, read first time; referred to: Local Government & Taxation",2009-01-29,,,['Representative Smith'],,INCOME TAXES - Amends existing law relating to income taxation to provide that passive losses incurred in years during which a taxpayer had no activity in Idaho are not deductible from state income tax.,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2009/legislation/H0005/,
H0006,,LAW,"Reported Signed by Governor on February 19, 2009; Session Law Chapter 8; Effective: 07/01/2009",2009-01-29,2009-02-12,,"['Representative Harwood', 'Senator Brackett']",Signed,BUNKER HILL CLEANUP SITE - Amends existing law relating to the Bunker Hill Cleanup Site to revise provisions relating to certain real property or interests in such property.,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2009/legislation/H0006/,
H0007,,LAW,"Reported Signed by Governor on February 19, 2009; Session Law Chapter 9; Effective: 07/01/2009",2009-01-29,2009-02-12,,"['Representative Eskridge', 'Senator Pearce']",Signed,PUBLIC UTILITIES COMMISSION - Adds to existing law to allow the Public Utilities Commission to provide priority designation for electric transmission projects that will cause state agencies to expedite their permit procedures for electric transmission projects.,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2009/legislation/H0007/,
H0008,,H Transp,01/22; Reported Printed and Referred to Transportation & Defense,,,,,,MOTOR FUELS TAX - DYED DIESEL FUEL - Amends existing law to provide a civil penalty for violation of the motor fuel tax laws prohibiting the use of dyed diesel fuel; and to provide a civil penalty for refusal to permit inspection of fuel tanks and dyeing equipment.,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2009/legislation/H0008/,
H0009,,LAW,"Reported Signed by Governor on March 3, 2009; Session Law Chapter 21; Effective: 07/01/2009",2009-02-09,2009-02-20,,"['Representative Ringo', 'Senator McKenzie']",Signed,"MOTOR FUELS TAX - BIODIESEL MOTOR FUEL - Amends existing law to exempt persons who produce 5,000 gallons or less of biodiesel motor fuel in a calendar year for personal consumption from the requirement to pay the one cent per gallon petroleum transfer fee and the requirement to obtain an Idaho motor fuel distributor’s license.",,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2009/legislation/H0009/,
H0010,,LAW,"Reported Signed by Governor on April 2, 2009; Session Law Chapter 91; Effective: 07/01/2009",2009-01-29,2009-03-23,,"['Representative Rusche', 'Senator Werk']",Signed,AIRCRAFT - SALES AND USE TAX - Amends existing law to exempt personally owned aircraft from the sales and use tax; and limits the exemption of sales and use tax solely to aircraft used as allowed by law to provide passenger or freight services for hire to the public from one point on land or water to another.,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2009/legislation/H0010/,
H0011,,LAW,"Reported Signed by Governor on February 18, 2009; Session Law Chapter 3; Effective: 07/01/2009",2009-01-29,2009-02-11,,"['Representative Clark', 'Senator Werk']",Signed,MOTOR FUELS TAX - ELECTRONIC SUBMISSION - Amends existing law to require from the taxpayer electronic submission of motor fuels tax and income tax information above a certain volume of activity.,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2009/legislation/H0011/,
H0012,,LAW,"Reported Signed by Governor on February 18, 2009; Session Law Chapter 4; Effective: 07/01/2009",2009-01-29,2009-02-11,,"['Representative Burgoyne', 'Senator Jorgenson']",Signed,TAXATION - BEER - WINE - Amends existing law to allow the State Tax Commission to promulgate rules to allow the payment of beer and wine taxes for a period other than monthly.,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2009/legislation/H0012/,
