bill_num,amended,short_outcome,final_action,house_vote_date,senate_vote_date,leg_cosponsors,floor_sponsors,gov_action,short_desc,long_desc,topics_all,topics_coded,t1,t1_aye,t2,t2_aye,t3,t3_aye,t4,t4_aye,t5,t5_aye,bill_group,link,notes
H0379,,LAW,"Reported Signed by Governor on February 16, 2010; Session Law Chapter 3; Effective: 01/01/10",26/01/2010,08/02/2010,,"['Representative Luker', 'Senator Pearce']",Signed,ELECTION CAMPAIGN FUND - Amends and repeals existing law relating to the Election Campaign Fund.,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2010/legislation/H0379/,
H0380,,LAW,"Reported Signed by Governor on February 23, 2010; Session Law Chapter 10; Effective: 07/01/2010",25/01/2010,15/02/2010,,"['Representative Clark', 'Senator Werk']",Signed,TAX COMMISSION - Amends existing law relating to income taxes to specify filing dates for certain information returns and to authorize the State Tax Commission to provide a different date no earlier than the date required by the Internal Revenue Code for filing equivalent federal returns in a nonelectronic format.,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2010/legislation/H0380/,
H0381,,LAW,"Reported Signed by Governor on February 23, 2010; Session Law Chapter 11; Effective: 01/01/10",25/01/2010,15/02/2010,,"['Representative Killen', 'Senator Jorgenson']",Signed,"TAX COMMISSION - Amends existing law to clarify the definition of ""net operating loss"" and to provide that net operating losses of a corporation will survive a merger subject to certain conditions.",,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2010/legislation/H0381/,
H0382,Amended,LAW,"Reported Signed by Governor on March 5, 2010; Session Law Chapter 37; Effective: 01/01/11",02/03/2010,24/02/2010,,"['Representative Smith', 'Senator Hill']",Signed,"STATE TAX COMMISSION - INCOME TAXES - Adds to and amends existing law relating to state income taxes to provide definitions of the terms ""pass-through entity"" and ""owner of interest in a pass-through entity""; to revise the manner in which the income of pass-through entities income is reported and paid; and to provide a system of backup withholding for individuals who are owners of pass-through entities or beneficiaries of a trust or estate who do not elect to have their income taxes paid on the entity’s return.",,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2010/legislation/H0382/,
H0383,,H Rev/Tax,01/15; Reported Printed and Referred to Revenue & Taxation,,,,,,TAX COMMISSION - Amends existing law relating to the state income tax to delete references to estimated payments and to provide a statute of limitations when the State Tax Commission has made an assessment.,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2010/legislation/H0383/,
H0384,,LAW,"Reported Signed by Governor on February 24, 2010; Session Law Chapter 14; Effective: 07/01/09 Sections 2 & 3;; 07/01/10 Section 1",25/01/2010,16/02/2010,,"['Representative Roberts', 'Senator McKenzie']",Signed,"TAX COMMISSION - MOTOR FUEL - Amends existing law to revise the definition of ""motor fuel"" to include ethanol;  to correct a code reference relating to the distribution of revenues from the tax on motor fuels; and to correct a code reference relating to the distribution of revenues from the tax on special fuels.",,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2010/legislation/H0384/,
H0385,,LAW,"Reported Signed by Governor on February 24, 2010; Session Law Chapter 15; Effective: 07/01/2010",25/01/2010,16/02/2010,,"['Representative Wood', 'Senator Heinrich']",Signed,TAX COMMISSION - UNCLAIMED PROPERTY - Amends existing law relating to unclaimed property to allow the administrator a period of five years prior to turning property over to the Public School Endowment Fund; to require holders reporting ten or more properties to report in a format required by the administrator; to allow the administrator discretion to sell abandoned property within three years; and to allow the administrator to waive penalties and interest in certain cases.,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2010/legislation/H0385/,
H0386,Amended,LAW,"Reported Signed by Governor on March 15, 2010; Session Law Chapter 44; Effective: 01/01/08 Section 1;; 01/01/10 Sections 2 & 3",11/02/2010,08/03/2010,,"['Representative Smith', 'Senator Hill']",Signed,STATE TAX COMMISSION - INCOME TAX - Amends existing law to revise how withdrawals from the state college savings account are added to taxable income; to revise the income tax credit for research activity; and to provide that the additional income tax credit for capital investment shall be calculated on the amount of qualified investment made during the project period wherever located within this state.,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2010/legislation/H0386/,
H0387,,H Rev/Tax,01/19; Reported Printed and Referred to Revenue & Taxation,,,,,,"SALES TAX - Amends existing law to delete language about taxes previously paid on amounts represented by accounts found to be worthless may be credited upon a subsequent payment of the sales and use tax; and to provide taxes previously paid on amounts represented by accounts found to be worthless may be credited upon a subsequent payment of the tax provided in this chapter or, if no such tax is due, refunded.",,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2010/legislation/H0387/,
H0388,,LAW,"Reported Signed by Governor on February 16, 2010; Session Law Chapter 5; Effective: 01/01/10",25/01/2010,10/02/2010,,"['Representative Clark', 'Senator Werk']",Signed,"INCOME TAX - Amends existing law to incorporate the definition of ""revenue-producing enterprise"" from the statute that provides an income tax deduction for capital gains.",,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2010/legislation/H0388/,
