bill_num,amended,short_outcome,final_action,house_vote_date,senate_vote_date,leg_cosponsors,floor_sponsors,gov_action,short_desc,long_desc,topics_all,topics_coded,t1,t1_aye,t2,t2_aye,t3,t3_aye,t4,t4_aye,t5,t5_aye,bill_group,link,notes
S1402,,LAW,Signed by Governor on 03/24/16; Session Law Chapter 176; Effective: 07/01/2016,2016-03-18,2016-03-16,,"['Senator Bair', 'Representative Burtenshaw']",Signed,"APPROPRIATIONS - DEPARTMENT OF WATER RESOURCES - Appropriates $28,274,300 to the Department of Water Resources for fiscal year 2017; limits the number of authorized full-time equivalent positions to 155; appropriates and transfers $716,000 from the Revolving Development Fund to the Aquifer Planning and Management Fund; transfers $2,500,000 of the appropriation from the Economic Recovery Reserve Fund to the Secondary Aquifer Planning, Management and Implementation Fund; transfers $5,000,000 of the appropriation from the General Fund to the Secondary Aquifer Planning, Management and Implementation Fund; appropriates and transfers $100,400 from the General Fund to the Priest Lake Outlet Subaccount; and expresses legislative intent concerning the sale of the Pristine Springs property.",,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2016/legislation/S1402/,
S1403,,LAW,Signed by Governor on 03/28/16; Session Law Chapter 223; Effective: 07/01/2016,2016-03-18,2016-03-16,,"['Senator Bair', 'Representative Malek']",Signed,"APPROPRIATIONS - HEALTH AND WELFARE - CHILD WELFARE/DEVELOPMENTALLY DISABLED SERVICES/SERVICE INTEGRATION - Appropriates $103,048,600 to the Department of Health and Welfare for the divisions of Child Welfare, Services for the Developmentally Disabled, and Service Integration for fiscal year 2017; limits the number of authorized full-time equivalent positions for the three divisions to 731.46; provides for General Fund transfers to the Cooperative Welfare Fund; limits transfers for trustee and benefit payments; provides for program integrity; provides legislative intent on educating children in the department’s care; and directs expenditures for Head Start.",,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2016/legislation/S1403/,
S1404,Amended,LAW,Signed by Governor on 04/05/16; Session Law Chapter 368; Effective: 07/01/2016,2016-03-24,2016-03-22,"['Representative Brent Crane', 'Representative Thomas Loertscher', 'Representative Judy Boyle', 'Representative Don Cheatham', 'Representative Eric Redman', 'Representative Greg Chaney', 'Representative Ronald Nate', 'Representative Pete Nielsen', 'Representative Stephen Hartgen', 'Representative Vito Barbieri', 'Representative Steven Harris', 'Representative Jeff Thompson', 'Representative Ron Mendive', 'Senator Clifford Bayer', 'Senator Sheryl Nuxoll', 'Senator Fred Martin', 'Senator Lori Den', 'Senator Steve Vick', 'Senator Todd Lakey', 'Senator Robert Nonini']","['Senator Bayer', 'Representative Crane']",Signed,UNBORN INFANTS DIGNITY ACT - Adds to existing law to enact the Idaho Unborn Infants Dignity Act.,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2016/legislation/S1404/,
S1405,,LAW,Signed by Governor on 04/05/16; Session Law Chapter 369; Effective: 07/01/2016,2016-03-23,2016-03-21,,"['Senator Bair', 'Representative Monks']",Signed,"APPROPRIATIONS - PARDONS AND PAROLE COMMISSION - Appropriates $2,969,000 to the Commission for Pardons and Parole for fiscal year 2017; and limits the number of authorized full-time equivalent positions to 33.",,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2016/legislation/S1405/,
S1406,,LAW,Signed by Governor on 03/31/16; Session Law Chapter 309; Effective: 07/01/2016,2016-03-23,2016-03-21,,"['Senator Lacey', 'Representative Gannon']",Signed,"APPROPRIATIONS - IDAHO STATE CAPITOL COMMISSION - Appropriates $2,342,000 to the Idaho State Capitol Commission for fiscal year 2017; provides a cash transfer; provides certain reappropriation authority; and provides legislative intent.",,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2016/legislation/S1406/,
S1407,,LAW,Signed by Governor on 03/31/16; Session Law Chapter 310; Effective: 07/01/2016,2016-03-23,2016-03-21,,"['Senator Schmidt', 'Representative Gibbs']",Signed,"APPROPRIATIONS - IDAHO STATE HISTORICAL SOCIETY - Appropriates $14,253,000 to the Idaho State Historical Society for fiscal year 2017; designates moneys for museum renovation and expansion; and limits the number of authorized full-time equivalent positions to 49.",,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2016/legislation/S1407/,
S1408,,LAW,Signed by Governor on 03/31/16; Session Law Chapter 324; Effective: 07/01/2016,2016-03-23,2016-03-21,,"['Senator Lacey', 'Representative Gannon']",Signed,"APPROPRIATIONS - DEPARTMENT OF ADMINISTRATION FOR THE BOND PAYMENT PROGRAM - Appropriates $12,303,000 to the Department of Administration for the Bond Payment Program for fiscal year 2017.",,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2016/legislation/S1408/,
S1409,,LAW,Signed by Governor on 03/31/16; Session Law Chapter 335; Effective: 07/01/2016,2016-03-24,2016-03-21,,"['Senator Bair', 'Representative Youngblood']",Signed,"APPROPRIATIONS - CORRECTION DEPARTMENT - Appropriates $240,321,600 to the Department of Correction for fiscal year 2017; and limits the number of authorized full-time equivalent positions to 1,972.85.",,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2016/legislation/S1409/,
S1410,,LAW,Signed by Governor on 04/05/16; Session Law Chapter 370; Effective: 07/01/2016,2016-03-23,2016-03-21,,"['Senator Johnson', 'Representative Monks']",Signed,"APPROPRIATIONS - MILLENNIUM FUND - Appropriates, distributes and transfers a total of $9,587,000 from the Idaho Millennium Income Fund for fiscal year 2017; provides that certain unexpended and unencumbered moneys shall revert to the Idaho Millennium Income Fund at the end of fiscal year 2017; and provides that any remaining unexpended and unencumbered moneys in the Idaho Millennium Income Fund shall be transferred to the Idaho Millennium Permanent Endowment Fund at the end of fiscal year 2017.",,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2016/legislation/S1410/,
S1411,,LAW,Became law without Governor’s signature on 04/08/16; Session Law Chapter 376; Effective: 07/01/2016,2016-03-23,2016-03-21,,"['Senator Keough', 'Representative Monks']",Passed without signature,"APPROPRIATIONS - LEGISLATIVE BRANCH - Appropriates $8,582,000 to the Legislative Branch for fiscal year 2017; reappropriates any unexpended and unencumbered balances in the Professional Services Fund; and exempts the appropriation from object transfer limitations.",,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2016/legislation/S1411/,
