bill_num,amended,short_outcome,final_action,house_vote_date,senate_vote_date,leg_cosponsors,floor_sponsors,gov_action,short_desc,long_desc,topics_all,topics_coded,t1,t1_aye,t2,t2_aye,t3,t3_aye,t4,t4_aye,t5,t5_aye,bill_group,link,notes
H0001,,LAW,"Reported Signed by Governor on February 13, 2017; Session Law Chapter 3; Effective: 02/13/2017",2017-01-19,2017-02-02,,"['Representative Loertscher', 'Senator Winder']",Signed,IDAHO ADMINISTRATIVE PROCEDURE ACT - Amends existing law to provide legislative intent and to provide for the legislative review for parts of a rule.,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2017/legislation/H0001/,
H0002,,LAW,"Reported Signed by Governor on February 16, 2017; Session Law Chapter 24; Effective: 07/01/2017",2017-01-30,2017-02-06,,"['Representative Chew', 'Senator Jordan']",Signed,PHARMACISTS - Amends existing law to revise provisions regarding the reciprocal licensing of pharmacists.,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2017/legislation/H0002/,
H0003,,LAW,"Reported Signed by Governor on February 16, 2017; Session Law Chapter 23; Effective: 07/01/2017",2017-01-30,2017-02-06,,"['Representative Chew', 'Senator Lee']",Signed,PHARMACISTS - Amends and adds to existing law to provide that prescribing tuberculin purified protein derivative products is within the practice of pharmacy; and to provide that a pharmacist may prescribe and administer a tuberculin purified protein derivative product under certain circumstances.,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2017/legislation/H0003/,
H0004,,LAW,"Reported Signed by Governor on February 16, 2017; Session Law Chapter 25; Effective: 07/01/2017",2017-01-30,2017-02-06,,"['Representative Chew', 'Senator Martin']",Signed,PHARMACISTS - Amends and adds to existing law to provide that prescribing tobacco cessation products is within the practice of pharmacy; and to provide that pharmacists may prescribe tobacco cessation products under certain circumstances.,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2017/legislation/H0004/,
H0005,,LAW,"Reported Signed by Governor on February 16, 2017; Session Law Chapter 22; Effective: 07/01/2017",2017-01-30,2017-02-06,,"['Representative Chew', 'Senator Harris']",Signed,"CONTROLLED SUBSTANCES - Amends existing law to provide that opioid antagonists dispensed to humans shall be filed with the Board of Pharmacy, to provide that the board shall retain certain information for five years, to provide that pharmacists must register to access the controlled substances prescriptions database, and to revise a definition.",,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2017/legislation/H0005/,
H0006,,LAW,"Reported Signed by Governor on February 13, 2017; Session Law Chapter 4; Effective: 02/13/2017",2017-01-25,2017-02-03,,"['Representative Chew', 'Senator Lee']",Signed,"CONTROLLED SUBSTANCES - Amends existing law to revise the lists of Schedule I, III, IV, and V controlled substances.",,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2017/legislation/H0006/,
H0007,,S FAILED,03/14; Returned from Senate Failed; Filed in the office of the Chief Clerk,2017-02-13,2017-03-13,,['Representative Packer'],,MASSAGE THERAPISTS - Amends existing law to revise definitions; to provide that the State Board of Massage Therapy has the authority to review and approve certain educational curricula; and to revise terminology.,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2017/legislation/H0007/,
H0008,,S FAILED,02/23; Returned from Senate Failed; Filed in the office of the Chief Clerk,2017-02-08,2017-02-22,,['Representative Rubel'],,MASSAGE THERAPISTS - Amends existing law to require criminal history checks for licensing.,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2017/legislation/H0008/,
H0009,,LAW,"Reported Signed by Governor on March 1, 2017; Session Law Chapter 51; Effective: 07/01/2017",2017-02-08,2017-02-22,,"['Representative Zollinger', 'Senator Harris']",Signed,MASSAGE THERAPISTS - Amends existing law to revise provisions regarding compensation for members of the Board of Massage Therapy.,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2017/legislation/H0009/,
H0010,,LAW,"Reported Signed by Governor on February 22, 2017; Session Law Chapter 26; Effective: 07/01/2017",2017-01-26,2017-02-15,,"['Representative Redman', 'Senator Heider']",Signed,CHIROPRACTIC PRACTICE - Amends and adds to existing law to establish provisions regarding fees; and to revise provisions regarding licenses.,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2017/legislation/H0010/,
