term,name,district,party,counties,image_link,senator_link,speaker
2016 - 2018,"Eagle, Dane",77,Republican,Part of Lee,https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4573.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4573&LegislativeTermId=87,Speaker Corcoran
2016 - 2018,"Edwards-Walpole, Katie",98,Democrat,Part of Broward,https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4566.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4566&LegislativeTermId=87,Speaker Corcoran
2016 - 2018,"Eisnaugle, Eric",44,Republican,Part of Orange,https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4449.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4449&LegislativeTermId=87,Speaker Corcoran
2016 - 2018,"Fant, Jay",15,Republican,Part of Duval,https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4601.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4601&LegislativeTermId=87,Speaker Corcoran
2016 - 2018,"Fernández, Javier E.",114,Democrat,Part of Miami-Dade,https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4705.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4705&LegislativeTermId=87,Speaker Corcoran
2016 - 2018,"Fine, Randy",53,Republican,Part of Brevard,https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4646.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4646&LegislativeTermId=87,Speaker Corcoran
2016 - 2018,"Fischer, Jason",16,Republican,Part of Duval,https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4639.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4639&LegislativeTermId=87,Speaker Corcoran
2016 - 2018,"Fitzenhagen, Heather",78,Republican,Part of Lee,https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4574.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4574&LegislativeTermId=87,Speaker Corcoran
2016 - 2018,"Geller, Joseph",100,Democrat,"Parts of Broward, Miami-Dade",https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4614.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4614&LegislativeTermId=87,Speaker Corcoran
2016 - 2018,"Gonzalez, Julio",74,Republican,Part of Sarasota,https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4611.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4611&LegislativeTermId=87,Speaker Corcoran
2016 - 2018,"Good, Margaret",72,Democrat,Part of Sarasota,https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4689.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4689&LegislativeTermId=87,Speaker Corcoran
2016 - 2018,"Goodson, Tom",51,Republican,Part of Brevard,https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4500.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4500&LegislativeTermId=87,Speaker Corcoran
2016 - 2018,"Grall, Erin",54,Republican,Indian River and part of St. Lucie,https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4637.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4637&LegislativeTermId=87,Speaker Corcoran
2016 - 2018,"Grant, James ""J.W.""",64,Republican,"Parts of Hillsborough, Pinellas",https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4504.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4504&LegislativeTermId=87,Speaker Corcoran
2016 - 2018,"Grant, Michael",75,Republican,Charlotte,https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4349.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4349&LegislativeTermId=87,Speaker Corcoran
2016 - 2018,"Gruters, Joe",73,Republican,"Parts of Manatee, Sarasota",https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4661.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4661&LegislativeTermId=87,Speaker Corcoran
2016 - 2018,"Hager, Bill",89,Republican,Part of Palm Beach,https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4518.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4518&LegislativeTermId=87,Speaker Corcoran
2016 - 2018,"* Hahnfeldt, Don",33,Republican,"Sumter and parts of Lake, Marion",https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4623.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4623&LegislativeTermId=87,Speaker Corcoran
2016 - 2018,"Hardemon, Roy",108,Democrat,Part of Miami-Dade,https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4631.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4631&LegislativeTermId=87,Speaker Corcoran
2016 - 2018,"Harrell, Gayle B.",83,Republican,"Parts of Martin, St. Lucie",https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4211.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4211&LegislativeTermId=87,Speaker Corcoran
2016 - 2018,"Harrison, Shawn",63,Republican,Part of Hillsborough,https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4510.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4510&LegislativeTermId=87,Speaker Corcoran
2016 - 2018,"Henry, Patrick",26,Democrat,Part of Volusia,https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4663.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4663&LegislativeTermId=87,Speaker Corcoran
2016 - 2018,"Ingoglia, Blaise",35,Republican,Part of Hernando,https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4603.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4603&LegislativeTermId=87,Speaker Corcoran
2016 - 2018,"Ingram, Clay",1,Republican,Part of Escambia,https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4493.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4493&LegislativeTermId=87,Speaker Corcoran
2016 - 2018,"* Jacobs, Kristin Diane",96,Democrat,Part of Broward,https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4613.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4613&LegislativeTermId=87,Speaker Corcoran
2016 - 2018,"Jacquet, Al",88,Democrat,Part of Palm Beach,https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4628.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4628&LegislativeTermId=87,Speaker Corcoran
2016 - 2018,"Jenne, Evan",99,Democrat,Part of Broward,https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4365.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4365&LegislativeTermId=87,Speaker Corcoran
2016 - 2018,"Jones, Shevrin D. ""Shev""",101,Democrat,Part of Broward,https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4559.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4559&LegislativeTermId=87,Speaker Corcoran
2016 - 2018,"Killebrew, Sam H.",41,Republican,Part of Polk,https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4644.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4644&LegislativeTermId=87,Speaker Corcoran
2016 - 2018,"La Rosa, Mike",42,Republican,"Parts of Osceola, Polk",https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4546.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4546&LegislativeTermId=87,Speaker Corcoran
2016 - 2018,"Latvala, Chris",67,Republican,Part of Pinellas,https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4610.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4610&LegislativeTermId=87,Speaker Corcoran
2016 - 2018,"Lee, Jr., Larry",84,Democrat,Part of St. Lucie,https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4576.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4576&LegislativeTermId=87,Speaker Corcoran
2016 - 2018,"Leek, Thomas J. ""Tom""",25,Republican,Part of Volusia,https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4662.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4662&LegislativeTermId=87,Speaker Corcoran
2016 - 2018,"Magar, MaryLynn ""ML""",82,Republican,"Parts of Martin, Palm Beach",https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4575.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4575&LegislativeTermId=87,Speaker Corcoran
2016 - 2018,"Mariano, Amber",36,Republican,Part of Pasco,https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4684.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4684&LegislativeTermId=87,Speaker Corcoran
2016 - 2018,"Massullo, MD, Ralph E.",34,Republican,Citrus and part of Hernando,https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4624.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4624&LegislativeTermId=87,Speaker Corcoran
2016 - 2018,"McClain, Stan",23,Republican,Part of Marion,https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4658.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4658&LegislativeTermId=87,Speaker Corcoran
2016 - 2018,"McClure, Lawrence",58,Republican,Part of Hillsborough,https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4686.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4686&LegislativeTermId=87,Speaker Corcoran
2016 - 2018,"McGhee, Kionne L.",117,Democrat,Part of Miami-Dade,https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4555.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4555&LegislativeTermId=87,Speaker Corcoran
2016 - 2018,"Mercado, Amy",48,Democrat,Part of Orange,https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4638.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4638&LegislativeTermId=87,Speaker Corcoran
2016 - 2018,"Metz, Larry",32,Republican,Part of Lake,https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4498.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4498&LegislativeTermId=87,Speaker Corcoran
2016 - 2018,"Miller, Alexandra C. ""Alex""",72,Republican,Part of Sarasota,https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4660.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4660&LegislativeTermId=87,Speaker Corcoran
2016 - 2018,"Miller, Mike",47,Republican,Part of Orange,https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4606.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4606&LegislativeTermId=87,Speaker Corcoran
2016 - 2018,"Moraitis, Jr., George R.",93,Republican,Part of Broward,https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4520.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4520&LegislativeTermId=87,Speaker Corcoran
2016 - 2018,"Moskowitz, Jared Evan",97,Democrat,Part of Broward,https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4560.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4560&LegislativeTermId=87,Speaker Corcoran
2016 - 2018,"Newton, Wengay ""Newt""",70,Democrat,"Parts of Hillsborough, Manatee, Pinellas, Sarasota",https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4659.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4659&LegislativeTermId=87,Speaker Corcoran
2016 - 2018,"Nuñez, Jeanette M.",119,Republican,Part of Miami-Dade,https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4524.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4524&LegislativeTermId=87,Speaker Corcoran
2016 - 2018,"Oliva, Jose R.",110,Republican,Part of Miami-Dade,https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4534.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4534&LegislativeTermId=87,Speaker Corcoran
2016 - 2018,"Olszewski, Robert ""Bobby O""",44,Republican,Part of Orange,https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4685.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4685&LegislativeTermId=87,Speaker Corcoran
2016 - 2018,"Payne, Bobby",19,Republican,"Bradford, Putnam, Union and part of Clay",https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4653.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4653&LegislativeTermId=87,Speaker Corcoran
2016 - 2018,"Perez, Daniel",116,Republican,Part of Miami-Dade,https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4690.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4690&LegislativeTermId=87,Speaker Corcoran
2016 - 2018,"Peters, Kathleen M.",69,Republican,Part of Pinellas,https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4571.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4571&LegislativeTermId=87,Speaker Corcoran
2016 - 2018,"Pigman, Cary",55,Republican,"Glades, Highlands, Okeechobee and part of  St. Lucie",https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4551.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4551&LegislativeTermId=87,Speaker Corcoran
2016 - 2018,"Plakon, Scott",29,Republican,Part of Seminole,https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4430.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4430&LegislativeTermId=87,Speaker Corcoran
2016 - 2018,"Plasencia, Rene ""Coach P""",50,Republican,"Parts of Brevard, Orange",https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4607.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4607&LegislativeTermId=87,Speaker Corcoran
2016 - 2018,"Ponder, Mel",4,Republican,Part of Okaloosa,https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4641.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4641&LegislativeTermId=87,Speaker Corcoran
2016 - 2018,"Porter, Elizabeth W.",10,Republican,"Baker, Columbia, Hamilton, Suwannee and part of Alachua",https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4494.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4494&LegislativeTermId=87,Speaker Corcoran
2016 - 2018,"Pritchett, Sharon",102,Democrat,"Parts of Broward, Miami-Dade",https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4561.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4561&LegislativeTermId=87,Speaker Corcoran
2016 - 2018,"Raburn, Jake",57,Republican,Part of Hillsborough,https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4552.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4552&LegislativeTermId=87,Speaker Corcoran
2016 - 2018,"Raschein, Holly",120,Republican,Monroe and part of Miami-Dade,https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4562.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4562&LegislativeTermId=87,Speaker Corcoran
2016 - 2018,"Raulerson, Daniel D. ""Dan""",58,Republican,Part of Hillsborough,https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4553.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4553&LegislativeTermId=87,Speaker Corcoran
2016 - 2018,"Renner, Paul",24,Republican,"Flagler and parts of St. Johns, Volusia",https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4619.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4619&LegislativeTermId=87,Speaker Corcoran
2016 - 2018,"Richardson, David",113,Democrat,Part of Miami-Dade,https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4556.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4556&LegislativeTermId=87,Speaker Corcoran
2016 - 2018,"Rodrigues, Ray Wesley",76,Republican,Part of Lee,https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4572.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4572&LegislativeTermId=87,Speaker Corcoran
2016 - 2018,"Rommel, Bob",106,Republican,Part of Collier,https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4634.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4634&LegislativeTermId=87,Speaker Corcoran
2016 - 2018,"Roth, Rick",85,Republican,Part of Palm Beach,https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4648.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4648&LegislativeTermId=87,Speaker Corcoran
2016 - 2018,"Russell, Barrington A. ""Barry""",95,Democrat,Part of Broward,https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4630.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4630&LegislativeTermId=87,Speaker Corcoran
2016 - 2018,"Santiago, David",27,Republican,Part of Volusia,https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4544.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4544&LegislativeTermId=87,Speaker Corcoran
2016 - 2018,"Shaw, Sean",61,Democrat,Part of Hillsborough,https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4626.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4626&LegislativeTermId=87,Speaker Corcoran
2016 - 2018,"Silvers, David",87,Democrat,Part of Palm Beach,https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4627.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4627&LegislativeTermId=87,Speaker Corcoran
2016 - 2018,"Slosberg, Emily",91,Democrat,Part of Palm Beach,https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4635.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4635&LegislativeTermId=87,Speaker Corcoran
2016 - 2018,"Smith, Carlos Guillermo",49,Democrat,Part of Orange,https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4642.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4642&LegislativeTermId=87,Speaker Corcoran
2016 - 2018,"Spano, Ross",59,Republican,Part of Hillsborough,https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4568.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4568&LegislativeTermId=87,Speaker Corcoran
2016 - 2018,"Sprowls, Chris",65,Republican,Part of Pinellas,https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4609.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4609&LegislativeTermId=87,Speaker Corcoran
2016 - 2018,"Stafford, Cynthia A.",109,Democrat,Part of Miami-Dade,https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4523.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4523&LegislativeTermId=87,Speaker Corcoran
2016 - 2018,"Stark, Richard",104,Democrat,Part of Broward,https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4557.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4557&LegislativeTermId=87,Speaker Corcoran
2016 - 2018,"Stevenson, Cyndi",17,Republican,Part of St. Johns,https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4620.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4620&LegislativeTermId=87,Speaker Corcoran
2016 - 2018,"Stone, Charlie",22,Republican,Levy and part of Marion,https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4537.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4537&LegislativeTermId=87,Speaker Corcoran
2016 - 2018,"Sullivan, Jennifer Mae",31,Republican,"Parts of Lake, Orange",https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4602.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4602&LegislativeTermId=87,Speaker Corcoran
2016 - 2018,"Toledo, Jackie",60,Republican,Part of Hillsborough,https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4647.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4647&LegislativeTermId=87,Speaker Corcoran
2016 - 2018,"Tomkow, Josie",39,Republican,"Parts of Osceola, Polk",https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4704.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4704&LegislativeTermId=87,Speaker Corcoran
2016 - 2018,"Trujillo, Carlos",105,Republican,"Parts of Broward, Collier, Miami-Dade",https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4527.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4527&LegislativeTermId=87,Speaker Corcoran
2016 - 2018,"Trumbull, Jay",6,Republican,Part of Bay,https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4600.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4600&LegislativeTermId=87,Speaker Corcoran
2016 - 2018,"Watson, Barbara",107,Democrat,Part of Miami-Dade,https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4532.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4532&LegislativeTermId=87,Speaker Corcoran
2016 - 2018,"Watson, Jr., Clovis",20,Democrat,"Parts of Alachua, Marion",https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4541.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4541&LegislativeTermId=87,Speaker Corcoran
2016 - 2018,"White, Frank",2,Republican,"Parts of Escambia, Santa Rosa",https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4645.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4645&LegislativeTermId=87,Speaker Corcoran
2016 - 2018,"Willhite, Matt",86,Democrat,Part of Palm Beach,https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4649.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4649&LegislativeTermId=87,Speaker Corcoran
2016 - 2018,"Williams, Patricia H.",92,Democrat,Part of Broward,https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4629.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4629&LegislativeTermId=87,Speaker Corcoran
2016 - 2018,"Williamson, Jayer",3,Republican,"Parts of Okaloosa, Santa Rosa",https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4622.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4622&LegislativeTermId=87,Speaker Corcoran
2016 - 2018,"Yarborough, Clay",12,Republican,Part of Duval,https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4633.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4633&LegislativeTermId=87,Speaker Corcoran
2014 - 2016,"Adkins, Janet H.",11,Republican,Nassau and part of Duval,https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4439.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4439&LegislativeTermId=86,Speaker Crisafulli
2014 - 2016,"Ahern, Larry",66,Republican,Part of Pinellas,https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4505.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4505&LegislativeTermId=86,Speaker Crisafulli
2014 - 2016,"Albritton, Ben",56,Republican,"DeSoto, Hardee and part of Polk",https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4508.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4508&LegislativeTermId=86,Speaker Crisafulli
2014 - 2016,"Antone, Bruce",46,Democrat,Part of Orange,https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4269.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4269&LegislativeTermId=86,Speaker Crisafulli
2014 - 2016,"Artiles, Frank",118,Republican,Part of Miami-Dade,https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4529.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4529&LegislativeTermId=86,Speaker Crisafulli
2014 - 2016,"Avila, Bryan",111,Republican,Part of Miami-Dade,https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4615.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4615&LegislativeTermId=86,Speaker Crisafulli
2014 - 2016,"Baxley, Dennis K.",23,Republican,Part of Marion,https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4200.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4200&LegislativeTermId=86,Speaker Crisafulli
2014 - 2016,"Berman, Lori",90,Democrat,Part of Palm Beach,https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4517.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4517&LegislativeTermId=86,Speaker Crisafulli
2014 - 2016,"Beshears, Halsey",7,Republican,"Calhoun, Franklin, Gulf, Jefferson, Lafayette, Liberty, Madison, Taylor, Wakulla and part of Leon",https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4539.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4539&LegislativeTermId=86,Speaker Crisafulli
2014 - 2016,"Bileca, Michael",115,Republican,Part of Miami-Dade,https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4528.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4528&LegislativeTermId=86,Speaker Crisafulli
2014 - 2016,"Boyd, Jim",71,Republican,"Parts of Manatee, Sarasota",https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4511.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4511&LegislativeTermId=86,Speaker Crisafulli
2014 - 2016,"Bracy, Randolph",45,Democrat,Part of Orange,https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4548.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4548&LegislativeTermId=86,Speaker Crisafulli
2014 - 2016,"Brodeur, Jason T.",28,Republican,Part of Seminole,https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4501.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4501&LegislativeTermId=86,Speaker Crisafulli
