term,name,district,party,counties,image_link,senator_link,position,resigned,died_in_office,elected
2016-2018,"Latvala, Jack ",16,Republican,"Consisted of parts of Pasco, Pinellas counties",https://www.flsenate.gov/PublishedContent/Senators/2016-2018/Photos/S16_4514_Thumbnail.jpg,https://www.flsenate.gov/Senators/2016-2018/S16/4514,, 1/5/2018,,
2016-2018,"Lee, Tom",20,Republican,"Consisted of parts of Hillsborough, Pasco, Polk counties",https://www.flsenate.gov/PublishedContent/Senators/2016-2018/Photos/S20_5100_Thumbnail.jpg,https://www.flsenate.gov/Senators/2016-2018/S20/5100,,,,
2016-2018,"Mayfield, Debbie",17,Republican,Consisted of Indian River county and part of Brevard county,https://www.flsenate.gov/PublishedContent/Senators/2016-2018/Photos/S17_5199_Thumbnail.jpg,https://www.flsenate.gov/Senators/2016-2018/S17/5199,,,,
2016-2018,"Montford, Bill",3,Democrat,"Consisted of Calhoun, Franklin, Gadsden, Gulf, Hamilton, Jefferson, Leon, Liberty, Madison, Taylor, Wakulla counties",https://www.flsenate.gov/PublishedContent/Senators/2016-2018/Photos/S03_5045_Thumbnail.jpg,https://www.flsenate.gov/Senators/2016-2018/S3/5045,,,,
2016-2018,"Negron, Joe ",25,Republican,"Consisted of Martin, St. Lucie counties and part of Palm Beach county",https://www.flsenate.gov/PublishedContent/Senators/2016-2018/Photos/S25_4688_Thumbnail.jpg,https://www.flsenate.gov/Senators/2016-2018/S25/4688,President,,,
2016-2018,"Passidomo, Kathleen",28,Republican,"Consisted of Collier, Hendry counties and part of Lee county",https://www.flsenate.gov/PublishedContent/Senators/2016-2018/Photos/S28_5196_Thumbnail.jpg,https://www.flsenate.gov/Senators/2016-2018/S28/5196,,,,
2016-2018,"Perry, Keith",8,Republican,"Consisted of Alachua, Putnam counties and part of Marion county",https://www.flsenate.gov/PublishedContent/Senators/2016-2018/Photos/S08_5200_Thumbnail.jpg,https://www.flsenate.gov/Senators/2016-2018/S8/5200,,,,
2016-2018,"Powell, Bobby",30,Democrat,Consisted of part of Palm Beach county,https://www.flsenate.gov/PublishedContent/Senators/2016-2018/Photos/S30_5201_Thumbnail.jpg,https://www.flsenate.gov/Senators/2016-2018/S30/5201,,,,
2016-2018,"Rader, Kevin J.",29,Democrat,"Consisted of parts of Broward, Palm Beach counties",https://www.flsenate.gov/PublishedContent/Senators/2016-2018/Photos/S29_5032_Thumbnail.jpg,https://www.flsenate.gov/Senators/2016-2018/S29/5032,,,,
2016-2018,"Rodriguez, Jose Javier",37,Democrat,Consisted of part of Miami-Dade county,https://www.flsenate.gov/PublishedContent/Senators/2016-2018/Photos/S37_5202_Thumbnail.jpg,https://www.flsenate.gov/Senators/2016-2018/S37/5202,,,,
2016-2018,"Rouson, Darryl Ervin",19,Democrat,"Consisted of parts of Hillsborough, Pinellas counties",https://www.flsenate.gov/PublishedContent/Senators/2016-2018/Photos/S19_5203_Thumbnail.jpg,https://www.flsenate.gov/Senators/2016-2018/S19/5203,,,,
2016-2018,"Simmons, David",9,Republican,Consisted of Seminole county and part of Volusia county,https://www.flsenate.gov/PublishedContent/Senators/2016-2018/Photos/S09_4682_Thumbnail.jpg,https://www.flsenate.gov/Senators/2016-2018/S9/4682,,,,
2016-2018,"Simpson, Wilton ",10,Republican,"Consisted of Citrus, Hernando counties and part of Pasco county",https://www.flsenate.gov/PublishedContent/Senators/2016-2018/Photos/S10_5104_Thumbnail.jpg,https://www.flsenate.gov/Senators/2016-2018/S10/5104,Majority (Republican) Leader,,,
2016-2018,"Stargel, Kelli",22,Republican,"Consisted of parts of Lake, Polk counties",https://www.flsenate.gov/PublishedContent/Senators/2016-2018/Photos/S22_5105_Thumbnail.jpg,https://www.flsenate.gov/Senators/2016-2018/S22/5105,,,,
2016-2018,"Steube, Greg ",23,Republican,Consisted of Sarasota county and part of Charlotte county,https://www.flsenate.gov/PublishedContent/Senators/2016-2018/Photos/S23_5204_Thumbnail.jpg,https://www.flsenate.gov/Senators/2016-2018/S23/5204,, 11/6/2018,,
2016-2018,"Stewart, Linda",13,Democrat,Consisted of part of Orange county,https://www.flsenate.gov/PublishedContent/Senators/2016-2018/Photos/S13_5205_Thumbnail.jpg,https://www.flsenate.gov/Senators/2016-2018/S13/5205,,,,
2016-2018,"Taddeo, Annette ",40,Democrat,Consisted of part of Miami-Dade county,https://www.flsenate.gov/PublishedContent/Senators/2016-2018/Photos/S40_5331_Thumbnail.jpg,https://www.flsenate.gov/Senators/2016-2018/S40/5331,,,, 9/26/2017
2016-2018,"Thurston, Perry E. , Jr.",33,Democrat,Consisted of part of Broward county,https://www.flsenate.gov/PublishedContent/Senators/2016-2018/Photos/S33_5191_Thumbnail.jpg,https://www.flsenate.gov/Senators/2016-2018/S33/5191,,,,
2016-2018,"Torres, Victor M. , Jr.",15,Democrat,Consisted of Osceola county and part of Orange county,https://www.flsenate.gov/PublishedContent/Senators/2016-2018/Photos/S15_5206_Thumbnail.jpg,https://www.flsenate.gov/Senators/2016-2018/S15/5206,,,,
2016-2018,"Young, Dana D.",18,Republican,Consisted of part of Hillsborough county,https://www.flsenate.gov/PublishedContent/Senators/2016-2018/Photos/S18_5207_Thumbnail.jpg,https://www.flsenate.gov/Senators/2016-2018/S18/5207,,,,
2014-2016,"Abruzzo, Joseph",25,Democrat,Consisted of part of Palm Beach county,https://www.flsenate.gov/PublishedContent/Senators/2014-2016/Photos/S25_5107_Thumbnail.jpg,https://www.flsenate.gov/Senators/2014-2016/S25/5107,,,,
2014-2016,"Altman, Thad",16,Republican,"Consisted of parts of Brevard, Indian River counties",https://www.flsenate.gov/PublishedContent/Senators/2014-2016/Photos/S16_4770_Thumbnail.jpg,https://www.flsenate.gov/Senators/2014-2016/S16/4770,,,,
2014-2016,"Bean, Aaron",4,Republican,Consisted of Nassau county and part of Duval county,https://www.flsenate.gov/PublishedContent/Senators/2014-2016/Photos/S04_5094_Thumbnail.jpg,https://www.flsenate.gov/Senators/2014-2016/S4/5094,,,,
2014-2016,"Benacquisto, Lizbeth",30,Republican,"Consisted of parts of Charlotte, Lee counties",https://www.flsenate.gov/PublishedContent/Senators/2014-2016/Photos/S30_5047_Thumbnail.jpg,https://www.flsenate.gov/Senators/2014-2016/S30/5047,,,,
2014-2016,"Bradley, Rob",7,Republican,"Consisted of Alachua, Bradford, Clay counties",https://www.flsenate.gov/PublishedContent/Senators/2014-2016/Photos/S07_5101_Thumbnail.jpg,https://www.flsenate.gov/Senators/2014-2016/S7/5101,,,,
2014-2016,"Brandes, Jeff",22,Republican,"Consisted of parts of Hillsborough, Pinellas counties",https://www.flsenate.gov/PublishedContent/Senators/2014-2016/Photos/S22_5095_Thumbnail.jpg,https://www.flsenate.gov/Senators/2014-2016/S22/5095,,,,
2014-2016,"Braynon II, Oscar",36,Democrat,"Consisted of parts of Broward, Miami-Dade counties",https://www.flsenate.gov/PublishedContent/Senators/2014-2016/Photos/S36_5007_Thumbnail.jpg,https://www.flsenate.gov/Senators/2014-2016/S36/5007,,,,
2014-2016,"Bullard, Dwight",39,Democrat,"Consisted of Hendry, Monroe counties and parts of Collier, Miami-Dade counties",https://www.flsenate.gov/PublishedContent/Senators/2014-2016/Photos/S39_5096_Thumbnail.jpg,https://www.flsenate.gov/Senators/2014-2016/S39/5096,,,,
2014-2016,"Clemens, Jeff",27,Democrat,Consisted of part of Palm Beach county,https://www.flsenate.gov/PublishedContent/Senators/2014-2016/Photos/S27_5097_Thumbnail.jpg,https://www.flsenate.gov/Senators/2014-2016/S27/5097,,,,
2014-2016,"Dean, Charles S. ""Charlie"" , Sr.",5,Republican,"Consisted of Baker, Citrus, Columbia, Dixie, Gilchrist, Lafayette, Levy, Suwannee, Union counties and part of Marion county",https://www.flsenate.gov/PublishedContent/Senators/2014-2016/Photos/S05_4756_Thumbnail.jpg,https://www.flsenate.gov/Senators/2014-2016/S5/4756,,,,
2014-2016,"Detert, Nancy C.",28,Republican,Consisted of Sarasota county and part of Charlotte county,https://www.flsenate.gov/PublishedContent/Senators/2014-2016/Photos/S28_4621_Thumbnail.jpg,https://www.flsenate.gov/Senators/2014-2016/S28/4621,,,,
2014-2016,"Diaz de la Portilla, Miguel",40,Republican,Consisted of part of Miami-Dade county,https://www.flsenate.gov/PublishedContent/Senators/2014-2016/Photos/S40_5044_Thumbnail.jpg,https://www.flsenate.gov/Senators/2014-2016/S40/5044,,,,
2014-2016,"Evers, Greg",2,Republican,"Consisted of Escambia, Santa Rosa counties and part of Okaloosa county",https://www.flsenate.gov/PublishedContent/Senators/2014-2016/Photos/S02_4728_Thumbnail.jpg,https://www.flsenate.gov/Senators/2014-2016/S2/4728,,,,
2014-2016,"Flores, Anitere",37,Republican,Consisted of part of Miami-Dade county,https://www.flsenate.gov/PublishedContent/Senators/2014-2016/Photos/S37_4783_Thumbnail.jpg,https://www.flsenate.gov/Senators/2014-2016/S37/4783,,,,
2014-2016,"Gaetz, Don",1,Republican,"Consisted of Bay, Holmes, Jackson, Walton, Washington counties and part of Okaloosa county",https://www.flsenate.gov/PublishedContent/Senators/2014-2016/Photos/S01_4804_Thumbnail.jpg,https://www.flsenate.gov/Senators/2014-2016/S1/4804,,,,
2014-2016,"Galvano, Bill ",26,Republican,"Consisted of DeSoto, Glades, Hardee counties and parts of Charlotte, Highlands, Hillsborough, Manatee counties",https://www.flsenate.gov/PublishedContent/Senators/2014-2016/Photos/S26_5098_Thumbnail.jpg,https://www.flsenate.gov/Senators/2014-2016/S26/5098,Majority (Republican) Leader,,,
2014-2016,"Garcia, Rene",38,Republican,Consisted of part of Miami-Dade county,https://www.flsenate.gov/PublishedContent/Senators/2014-2016/Photos/S38_4717_Thumbnail.jpg,https://www.flsenate.gov/Senators/2014-2016/S38/4717,,,,
2014-2016,"Gardiner, Andy ",13,Republican,"Consisted of parts of Brevard, Orange counties",https://www.flsenate.gov/PublishedContent/Senators/2014-2016/Photos/S13_4684_Thumbnail.jpg,https://www.flsenate.gov/Senators/2014-2016/S13/4684,President,,,
2014-2016,"Gibson, Audrey",9,Democrat,Consisted of part of Duval county,https://www.flsenate.gov/PublishedContent/Senators/2014-2016/Photos/S09_4765_Thumbnail.jpg,https://www.flsenate.gov/Senators/2014-2016/S9/4765,,,,
2014-2016,"Grimsley, Denise",21,Republican,"Consisted of Okeechobee county and parts of Highlands, Martin, Osceola, Polk, St. Lucie counties",https://www.flsenate.gov/PublishedContent/Senators/2014-2016/Photos/S21_5099_Thumbnail.jpg,https://www.flsenate.gov/Senators/2014-2016/S21/5099,,,,
2014-2016,"Hays, Alan",11,Republican,"Consisted of parts of Lake, Marion, Orange, Sumter counties",https://www.flsenate.gov/PublishedContent/Senators/2014-2016/Photos/S11_4787_Thumbnail.jpg,https://www.flsenate.gov/Senators/2014-2016/S11/4787,,,,
2014-2016,"Hukill, Dorothy L.",8,Republican,"Consisted of parts of Lake, Marion, Volusia counties",https://www.flsenate.gov/PublishedContent/Senators/2014-2016/Photos/S08_5102_Thumbnail.jpg,https://www.flsenate.gov/Senators/2014-2016/S8/5102,,,,
2014-2016,"Joyner, Arthenia L. ",19,Democrat,"Consisted of parts of Hillsborough, Manatee, Pinellas counties",https://www.flsenate.gov/PublishedContent/Senators/2014-2016/Photos/S19_4697_Thumbnail.jpg,https://www.flsenate.gov/Senators/2014-2016/S19/4697,Minority (Democratic) Leader,,,
2014-2016,"Latvala, Jack",20,Republican,Consisted of part of Pinellas county,https://www.flsenate.gov/PublishedContent/Senators/2014-2016/Photos/S20_4514_Thumbnail.jpg,https://www.flsenate.gov/Senators/2014-2016/S20/4514,,,,
2014-2016,"Lee, Tom",24,Republican,Consisted of part of Hillsborough county,https://www.flsenate.gov/PublishedContent/Senators/2014-2016/Photos/S24_5100_Thumbnail.jpg,https://www.flsenate.gov/Senators/2014-2016/S24/5100,,,,
2014-2016,"Legg, John",17,Republican,"Consisted of parts of Hillsborough, Pasco counties",https://www.flsenate.gov/PublishedContent/Senators/2014-2016/Photos/S17_5103_Thumbnail.jpg,https://www.flsenate.gov/Senators/2014-2016/S17/5103,,,,
2014-2016,"Margolis, Gwen",35,Democrat,Consisted of part of Miami-Dade county,https://www.flsenate.gov/PublishedContent/Senators/2014-2016/Photos/S35_4128_Thumbnail.jpg,https://www.flsenate.gov/Senators/2014-2016/S35/4128,,,,
2014-2016,"Montford, Bill",3,Democrat,"Consisted of Calhoun, Franklin, Gadsden, Gulf, Hamilton, Jefferson, Leon, Liberty, Madison, Taylor, Wakulla counties",https://www.flsenate.gov/PublishedContent/Senators/2014-2016/Photos/S03_5045_Thumbnail.jpg,https://www.flsenate.gov/Senators/2014-2016/S3/5045,,,,
2014-2016,"Negron, Joe",32,Republican,"Consisted of parts of Indian River, Martin, Palm Beach, St. Lucie counties",https://www.flsenate.gov/PublishedContent/Senators/2014-2016/Photos/S32_4688_Thumbnail.jpg,https://www.flsenate.gov/Senators/2014-2016/S32/4688,,,,
2014-2016,"Richter, Garrett ",23,Republican,"Consisted of parts of Collier, Lee counties",https://www.flsenate.gov/PublishedContent/Senators/2014-2016/Photos/S23_4882_Thumbnail.jpg,https://www.flsenate.gov/Senators/2014-2016/S23/4882,President Pro Tempore,,,
2014-2016,"Ring, Jeremy",29,Democrat,Consisted of part of Broward county,https://www.flsenate.gov/PublishedContent/Senators/2014-2016/Photos/S29_4806_Thumbnail.jpg,https://www.flsenate.gov/Senators/2014-2016/S29/4806,,,,
2014-2016,"Sachs, Maria Lorts",34,Democrat,"Consisted of parts of Broward, Palm Beach counties",https://www.flsenate.gov/PublishedContent/Senators/2014-2016/Photos/S34_4892_Thumbnail.jpg,https://www.flsenate.gov/Senators/2014-2016/S34/4892,,,,
2014-2016,"Simmons, David",10,Republican,Consisted of Seminole county and part of Volusia county,https://www.flsenate.gov/PublishedContent/Senators/2014-2016/Photos/S10_4682_Thumbnail.jpg,https://www.flsenate.gov/Senators/2014-2016/S10/4682,,,,
2014-2016,"Simpson, Wilton",18,Republican,"Consisted of Hernando county and parts of Pasco, Sumter counties",https://www.flsenate.gov/PublishedContent/Senators/2014-2016/Photos/S18_5104_Thumbnail.jpg,https://www.flsenate.gov/Senators/2014-2016/S18/5104,,,,
2014-2016,"Smith, Christopher L.",31,Democrat,Consisted of part of Broward county,https://www.flsenate.gov/PublishedContent/Senators/2014-2016/Photos/S31_4634_Thumbnail.jpg,https://www.flsenate.gov/Senators/2014-2016/S31/4634,,,,
2014-2016,"Sobel, Eleanor",33,Democrat,Consisted of part of Broward county,https://www.flsenate.gov/PublishedContent/Senators/2014-2016/Photos/S33_4608_Thumbnail.jpg,https://www.flsenate.gov/Senators/2014-2016/S33/4608,,,,
2014-2016,"Soto, Darren",14,Democrat,"Consisted of parts of Orange, Osceola, Polk counties",https://www.flsenate.gov/PublishedContent/Senators/2014-2016/Photos/S14_5108_Thumbnail.jpg,https://www.flsenate.gov/Senators/2014-2016/S14/5108,,,,
2014-2016,"Stargel, Kelli",15,Republican,"Consisted of parts of Orange, Osceola, Polk counties",https://www.flsenate.gov/PublishedContent/Senators/2014-2016/Photos/S15_5105_Thumbnail.jpg,https://www.flsenate.gov/Senators/2014-2016/S15/5105,,,,
2014-2016,"Thompson, Geraldine F. ""Geri""",12,Democrat,Consisted of part of Orange county,https://www.flsenate.gov/PublishedContent/Senators/2014-2016/Photos/S12_5106_Thumbnail.jpg,https://www.flsenate.gov/Senators/2014-2016/S12/5106,,,,
2014-2016,"Thrasher, John ",6,Republican,"Consisted of Flagler, Putnam, St. Johns counties and part of Volusia county",https://www.flsenate.gov/PublishedContent/Senators/2014-2016/Photos/S06_4436_Thumbnail.jpg,https://www.flsenate.gov/Senators/2014-2016/S6/4436,, 11/9/2014,,
2012-2014,"Abruzzo, Joseph",25,Democrat,Consisted of part of Palm Beach county,https://www.flsenate.gov/PublishedContent/Senators/2012-2014/Photos/S25_5107_Thumbnail.jpg,https://www.flsenate.gov/Senators/2012-2014/S25/5107,,,,
2012-2014,"Altman, Thad",16,Republican,"Consisted of parts of Brevard, Indian River counties",https://www.flsenate.gov/PublishedContent/Senators/2012-2014/Photos/S16_4770_Thumbnail.jpg,https://www.flsenate.gov/Senators/2012-2014/S16/4770,,,,
2012-2014,"Bean, Aaron",4,Republican,Consisted of Nassau county and part of Duval county,https://www.flsenate.gov/PublishedContent/Senators/2012-2014/Photos/S04_5094_Thumbnail.jpg,https://www.flsenate.gov/Senators/2012-2014/S4/5094,,,,
2012-2014,"Benacquisto, Lizbeth ",30,Republican,"Consisted of parts of Charlotte, Lee counties",https://www.flsenate.gov/PublishedContent/Senators/2012-2014/Photos/S30_5047_Thumbnail.jpg,https://www.flsenate.gov/Senators/2012-2014/S30/5047,Majority (Republican) Leader,,,
2012-2014,"Bradley, Rob",7,Republican,"Consisted of Alachua, Bradford, Clay counties",https://www.flsenate.gov/PublishedContent/Senators/2012-2014/Photos/S07_5101_Thumbnail.jpg,https://www.flsenate.gov/Senators/2012-2014/S7/5101,,,,
2012-2014,"Brandes, Jeff",22,Republican,"Consisted of parts of Hillsborough, Pinellas counties",https://www.flsenate.gov/PublishedContent/Senators/2012-2014/Photos/S22_5095_Thumbnail.jpg,https://www.flsenate.gov/Senators/2012-2014/S22/5095,,,,
2012-2014,"Braynon II, Oscar",36,Democrat,"Consisted of parts of Broward, Miami-Dade counties",https://www.flsenate.gov/PublishedContent/Senators/2012-2014/Photos/S36_5007_Thumbnail.jpg,https://www.flsenate.gov/Senators/2012-2014/S36/5007,,,,
2012-2014,"Bullard, Dwight",39,Democrat,"Consisted of Hendry, Monroe counties and parts of Collier, Miami-Dade counties",https://www.flsenate.gov/PublishedContent/Senators/2012-2014/Photos/S39_5096_Thumbnail.jpg,https://www.flsenate.gov/Senators/2012-2014/S39/5096,,,,
2012-2014,"Clemens, Jeff",27,Democrat,Consisted of part of Palm Beach county,https://www.flsenate.gov/PublishedContent/Senators/2012-2014/Photos/S27_5097_Thumbnail.jpg,https://www.flsenate.gov/Senators/2012-2014/S27/5097,,,,
2012-2014,"Dean, Charles S. ""Charlie"" , Sr.",5,Republican,"Consisted of Baker, Citrus, Columbia, Dixie, Gilchrist, Lafayette, Levy, Suwannee, Union counties and part of Marion county",https://www.flsenate.gov/PublishedContent/Senators/2012-2014/Photos/S05_4756_Thumbnail.jpg,https://www.flsenate.gov/Senators/2012-2014/S5/4756,,,,
2012-2014,"Detert, Nancy C.",28,Republican,Consisted of Sarasota county and part of Charlotte county,https://www.flsenate.gov/PublishedContent/Senators/2012-2014/Photos/S28_4621_Thumbnail.jpg,https://www.flsenate.gov/Senators/2012-2014/S28/4621,,,,
2012-2014,"Diaz de la Portilla, Miguel",40,Republican,Consisted of part of Miami-Dade county,https://www.flsenate.gov/PublishedContent/Senators/2012-2014/Photos/S40_5044_Thumbnail.jpg,https://www.flsenate.gov/Senators/2012-2014/S40/5044,,,,
2012-2014,"Evers, Greg",2,Republican,"Consisted of Escambia, Santa Rosa counties and part of Okaloosa county",https://www.flsenate.gov/PublishedContent/Senators/2012-2014/Photos/S02_4728_Thumbnail.jpg,https://www.flsenate.gov/Senators/2012-2014/S2/4728,,,,
2012-2014,"Flores, Anitere",37,Republican,Consisted of part of Miami-Dade county,https://www.flsenate.gov/PublishedContent/Senators/2012-2014/Photos/S37_4783_Thumbnail.jpg,https://www.flsenate.gov/Senators/2012-2014/S37/4783,,,,
2012-2014,"Gaetz, Don ",1,Republican,"Consisted of Bay, Holmes, Jackson, Walton, Washington counties and part of Okaloosa county",https://www.flsenate.gov/PublishedContent/Senators/2012-2014/Photos/S01_4804_Thumbnail.jpg,https://www.flsenate.gov/Senators/2012-2014/S1/4804,President,,,
2012-2014,"Galvano, Bill",26,Republican,"Consisted of DeSoto, Glades, Hardee counties and parts of Charlotte, Highlands, Hillsborough, Manatee counties",https://www.flsenate.gov/PublishedContent/Senators/2012-2014/Photos/S26_5098_Thumbnail.jpg,https://www.flsenate.gov/Senators/2012-2014/S26/5098,,,,
2012-2014,"Garcia, Rene",38,Republican,Consisted of part of Miami-Dade county,https://www.flsenate.gov/PublishedContent/Senators/2012-2014/Photos/S38_4717_Thumbnail.jpg,https://www.flsenate.gov/Senators/2012-2014/S38/4717,,,,
2012-2014,"Gardiner, Andy",13,Republican,"Consisted of parts of Brevard, Orange counties",https://www.flsenate.gov/PublishedContent/Senators/2012-2014/Photos/S13_4684_Thumbnail.jpg,https://www.flsenate.gov/Senators/2012-2014/S13/4684,,,,
2012-2014,"Gibson, Audrey",9,Democrat,Consisted of part of Duval county,https://www.flsenate.gov/PublishedContent/Senators/2012-2014/Photos/S09_4765_Thumbnail.jpg,https://www.flsenate.gov/Senators/2012-2014/S9/4765,,,,
2012-2014,"Grimsley, Denise",21,Republican,"Consisted of Okeechobee county and parts of Highlands, Martin, Osceola, Polk, St. Lucie counties",https://www.flsenate.gov/PublishedContent/Senators/2012-2014/Photos/S21_5099_Thumbnail.jpg,https://www.flsenate.gov/Senators/2012-2014/S21/5099,,,,
2012-2014,"Hays, Alan",11,Republican,"Consisted of parts of Lake, Marion, Orange, Sumter counties",https://www.flsenate.gov/PublishedContent/Senators/2012-2014/Photos/S11_4787_Thumbnail.jpg,https://www.flsenate.gov/Senators/2012-2014/S11/4787,,,,
2012-2014,"Hukill, Dorothy L.",8,Republican,"Consisted of parts of Lake, Marion, Volusia counties",https://www.flsenate.gov/PublishedContent/Senators/2012-2014/Photos/S08_5102_Thumbnail.jpg,https://www.flsenate.gov/Senators/2012-2014/S8/5102,,,,
2012-2014,"Joyner, Arthenia L.",19,Democrat,"Consisted of parts of Hillsborough, Manatee, Pinellas counties",https://www.flsenate.gov/PublishedContent/Senators/2012-2014/Photos/S19_4697_Thumbnail.jpg,https://www.flsenate.gov/Senators/2012-2014/S19/4697,,,,
2012-2014,"Latvala, Jack",20,Republican,Consisted of part of Pinellas county,https://www.flsenate.gov/PublishedContent/Senators/2012-2014/Photos/S20_4514_Thumbnail.jpg,https://www.flsenate.gov/Senators/2012-2014/S20/4514,,,,
2012-2014,"Lee, Tom",24,Republican,Consisted of part of Hillsborough county,https://www.flsenate.gov/PublishedContent/Senators/2012-2014/Photos/S24_5100_Thumbnail.jpg,https://www.flsenate.gov/Senators/2012-2014/S24/5100,,,,
2012-2014,"Legg, John",17,Republican,"Consisted of parts of Hillsborough, Pasco counties",https://www.flsenate.gov/PublishedContent/Senators/2012-2014/Photos/S17_5103_Thumbnail.jpg,https://www.flsenate.gov/Senators/2012-2014/S17/5103,,,,
2012-2014,"Margolis, Gwen",35,Democrat,Consisted of part of Miami-Dade county,https://www.flsenate.gov/PublishedContent/Senators/2012-2014/Photos/S35_4128_Thumbnail.jpg,https://www.flsenate.gov/Senators/2012-2014/S35/4128,,,,
2012-2014,"Montford, Bill",3,Democrat,"Consisted of Calhoun, Franklin, Gadsden, Gulf, Hamilton, Jefferson, Leon, Liberty, Madison, Taylor, Wakulla counties",https://www.flsenate.gov/PublishedContent/Senators/2012-2014/Photos/S03_5045_Thumbnail.jpg,https://www.flsenate.gov/Senators/2012-2014/S3/5045,,,,
2012-2014,"Negron, Joe",32,Republican,"Consisted of parts of Indian River, Martin, Palm Beach, St. Lucie counties",https://www.flsenate.gov/PublishedContent/Senators/2012-2014/Photos/S32_4688_Thumbnail.jpg,https://www.flsenate.gov/Senators/2012-2014/S32/4688,,,,
2012-2014,"Richter, Garrett ",23,Republican,"Consisted of parts of Collier, Lee counties",https://www.flsenate.gov/PublishedContent/Senators/2012-2014/Photos/S23_4882_Thumbnail.jpg,https://www.flsenate.gov/Senators/2012-2014/S23/4882,President Pro Tempore,,,
2012-2014,"Ring, Jeremy",29,Democrat,Consisted of part of Broward county,https://www.flsenate.gov/PublishedContent/Senators/2012-2014/Photos/S29_4806_Thumbnail.jpg,https://www.flsenate.gov/Senators/2012-2014/S29/4806,,,,
2012-2014,"Sachs, Maria Lorts",34,Democrat,"Consisted of parts of Broward, Palm Beach counties",https://www.flsenate.gov/PublishedContent/Senators/2012-2014/Photos/S34_4892_Thumbnail.jpg,https://www.flsenate.gov/Senators/2012-2014/S34/4892,,,,
2012-2014,"Simmons, David",10,Republican,Consisted of Seminole county and part of Volusia county,https://www.flsenate.gov/PublishedContent/Senators/2012-2014/Photos/S10_4682_Thumbnail.jpg,https://www.flsenate.gov/Senators/2012-2014/S10/4682,,,,
2012-2014,"Simpson, Wilton",18,Republican,"Consisted of Hernando county and parts of Pasco, Sumter counties",https://www.flsenate.gov/PublishedContent/Senators/2012-2014/Photos/S18_5104_Thumbnail.jpg,https://www.flsenate.gov/Senators/2012-2014/S18/5104,,,,
2012-2014,"Smith, Christopher L. ",31,Democrat,Consisted of part of Broward county,https://www.flsenate.gov/PublishedContent/Senators/2012-2014/Photos/S31_4634_Thumbnail.jpg,https://www.flsenate.gov/Senators/2012-2014/S31/4634,Minority (Democratic) Leader,,,
2012-2014,"Sobel, Eleanor",33,Democrat,Consisted of part of Broward county,https://www.flsenate.gov/PublishedContent/Senators/2012-2014/Photos/S33_4608_Thumbnail.jpg,https://www.flsenate.gov/Senators/2012-2014/S33/4608,,,,
2012-2014,"Soto, Darren",14,Democrat,"Consisted of parts of Orange, Osceola, Polk counties",https://www.flsenate.gov/PublishedContent/Senators/2012-2014/Photos/S14_5108_Thumbnail.jpg,https://www.flsenate.gov/Senators/2012-2014/S14/5108,,,,
2012-2014,"Stargel, Kelli",15,Republican,"Consisted of parts of Orange, Osceola, Polk counties",https://www.flsenate.gov/PublishedContent/Senators/2012-2014/Photos/S15_5105_Thumbnail.jpg,https://www.flsenate.gov/Senators/2012-2014/S15/5105,,,,
2012-2014,"Thompson, Geraldine F. ""Geri""",12,Democrat,Consisted of part of Orange county,https://www.flsenate.gov/PublishedContent/Senators/2012-2014/Photos/S12_5106_Thumbnail.jpg,https://www.flsenate.gov/Senators/2012-2014/S12/5106,,,,
2012-2014,"Thrasher, John",6,Republican,"Consisted of Flagler, Putnam, St. Johns counties and part of Volusia county",https://www.flsenate.gov/PublishedContent/Senators/2012-2014/Photos/S06_4436_Thumbnail.jpg,https://www.flsenate.gov/Senators/2012-2014/S6/4436,,,,
2010-2012,"Alexander, JD",17,Republican,"Consisted of Hardee, Highlands counties and parts of DeSoto, Glades, Okeechobee, Polk, St. Lucie counties",https://www.flsenate.gov/PublishedContent/Senators/2010-2012/Photos/S17_4599_Thumbnail.jpg,https://www.flsenate.gov/Senators/2010-2012/S17/4599,,,,
2010-2012,"Altman, Thad",24,Republican,"Consisted of parts of Brevard, Orange, Seminole counties",https://www.flsenate.gov/PublishedContent/Senators/2010-2012/Photos/S24_4770_Thumbnail.jpg,https://www.flsenate.gov/Senators/2010-2012/S24/4770,,,,
2010-2012,"Benacquisto, Lizbeth",27,Republican,"Consisted of parts of Charlotte, Glades, Hendry, Lee, Palm Beach counties",https://www.flsenate.gov/PublishedContent/Senators/2010-2012/Photos/S27_5047_Thumbnail.jpg,https://www.flsenate.gov/Senators/2010-2012/S27/5047,,,,
2010-2012,"Bennett, Michael S. ""Mike"" ",21,Republican,"Consisted of parts of Charlotte, DeSoto, Lee, Manatee, Sarasota counties",https://www.flsenate.gov/PublishedContent/Senators/2010-2012/Photos/S21_4656_Thumbnail.jpg,https://www.flsenate.gov/Senators/2010-2012/S21/4656,President Pro Tempore,,,
2010-2012,"Bogdanoff, Ellyn Setnor",25,Republican,"Consisted of parts of Broward, Palm Beach counties",https://www.flsenate.gov/PublishedContent/Senators/2010-2012/Photos/S25_4774_Thumbnail.jpg,https://www.flsenate.gov/Senators/2010-2012/S25/4774,,,,
2010-2012,"Braynon II, Oscar ",33,Democrat,Consisted of part of Miami-Dade county,https://www.flsenate.gov/PublishedContent/Senators/2010-2012/Photos/S33_5007_Thumbnail.jpg,https://www.flsenate.gov/Senators/2010-2012/S33/5007,,,, 3/1/2011
