term,name,district,party,counties,image_link,senator_link,position,resigned,died_in_office,elected
2020-2022,"Hooper, Ed",16,Republican,"Consists of parts of Pasco, Pinellas counties",https://www.flsenate.gov/PublishedContent/Senators/2020-2022/Photos/S16_5344_Thumbnail.jpg,https://www.flsenate.gov/Senators/2020-2022/S16,,,,
2020-2022,"Hutson, Travis",7,Republican,"Consists of Flagler, St. Johns counties and part of Volusia county",https://www.flsenate.gov/PublishedContent/Senators/2020-2022/Photos/S07_5186_Thumbnail.jpg,https://www.flsenate.gov/Senators/2020-2022/S7,,,,
2020-2022,"Jones, Shevrin D. ""Shev""",35,Democrat,"Consists of parts of Broward, Miami-Dade counties",https://www.flsenate.gov/PublishedContent/Senators/2020-2022/Photos/S35_5453_Thumbnail.jpg,https://www.flsenate.gov/Senators/2020-2022/S35,,,,
2020-2022,"Mayfield, Debbie ",17,Republican,Consists of Indian River county and part of Brevard county,https://www.flsenate.gov/PublishedContent/Senators/2020-2022/Photos/S17_5199_Thumbnail.jpg,https://www.flsenate.gov/Senators/2020-2022/S17,Majority (Republican) Leader,,,
2020-2022,"Passidomo, Kathleen",28,Republican,"Consists of Collier, Hendry, Martin, Sarasota counties and parts of Charlotte, Indian River, Lee, Okeechobee, Palm Beach, St. Lucie counties",https://www.flsenate.gov/PublishedContent/Senators/2020-2022/Photos/S28_5196_Thumbnail.jpg,https://www.flsenate.gov/Senators/2020-2022/S28,,,,
2020-2022,"Perry, Keith",8,Republican,"Consists of Alachua, Putnam counties and part of Marion county",https://www.flsenate.gov/PublishedContent/Senators/2020-2022/Photos/S08_5200_Thumbnail.jpg,https://www.flsenate.gov/Senators/2020-2022/S8,,,,
2020-2022,"Pizzo, Jason W. B.",38,Democrat,Consists of part of Miami-Dade county,https://www.flsenate.gov/PublishedContent/Senators/2020-2022/Photos/S38_5345_Thumbnail.jpg,https://www.flsenate.gov/Senators/2020-2022/S38,,,,
2020-2022,"Polsky, Tina Scott",29,Democrat,"Consists of parts of Broward, Palm Beach counties",https://www.flsenate.gov/PublishedContent/Senators/2020-2022/Photos/S29_5371_Thumbnail.jpg,https://www.flsenate.gov/Senators/2020-2022/S29,,,,
2020-2022,"Powell, Bobby",30,Democrat,Consists of part of Palm Beach county,https://www.flsenate.gov/PublishedContent/Senators/2020-2022/Photos/S30_5201_Thumbnail.jpg,https://www.flsenate.gov/Senators/2020-2022/S30,,,,
2020-2022,"Rodrigues, Ray Wesley",27,Republican,Consists of part of Lee county,https://www.flsenate.gov/PublishedContent/Senators/2020-2022/Photos/S27_5437_Thumbnail.jpg,https://www.flsenate.gov/Senators/2020-2022/S27,,,,
2020-2022,"Rodriguez, Ana Maria",39,Republican,Consists of Monroe county and part of Miami-Dade county,https://www.flsenate.gov/PublishedContent/Senators/2020-2022/Photos/S39_5379_Thumbnail.jpg,https://www.flsenate.gov/Senators/2020-2022/S39,,,,
2020-2022,"Rouson, Darryl Ervin",19,Democrat,"Consists of parts of Hillsborough, Pinellas counties",https://www.flsenate.gov/PublishedContent/Senators/2020-2022/Photos/S19_5203_Thumbnail.jpg,https://www.flsenate.gov/Senators/2020-2022/S19,,,,
2020-2022,"Simpson, Wilton ",10,Republican,"Consists of Citrus, Hernando counties and part of Pasco county",https://www.flsenate.gov/PublishedContent/Senators/2020-2022/Photos/S10_5104_Thumbnail.jpg,https://www.flsenate.gov/Senators/2020-2022/S10,President,,,
2020-2022,"Stargel, Kelli",22,Republican,"Consists of parts of Lake, Polk counties",https://www.flsenate.gov/PublishedContent/Senators/2020-2022/Photos/S22_5105_Thumbnail.jpg,https://www.flsenate.gov/Senators/2020-2022/S22,,,,
2020-2022,"Stewart, Linda",13,Democrat,Consists of part of Orange county,https://www.flsenate.gov/PublishedContent/Senators/2020-2022/Photos/S13_5205_Thumbnail.jpg,https://www.flsenate.gov/Senators/2020-2022/S13,,,,
2020-2022,"Taddeo, Annette",40,Democrat,Consists of part of Miami-Dade county,https://www.flsenate.gov/PublishedContent/Senators/2020-2022/Photos/S40_5331_Thumbnail.jpg,https://www.flsenate.gov/Senators/2020-2022/S40,,,,
2020-2022,"Thurston, Perry E. , Jr.",33,Democrat,Consists of part of Broward county,https://www.flsenate.gov/PublishedContent/Senators/2020-2022/Photos/S33_5191_Thumbnail.jpg,https://www.flsenate.gov/Senators/2020-2022/S33,,,,
